question_id	question	query
WebQTrn-0	what is the name of justin bieber brother	justin bieber brother full name
WebQTrn-1	what character did natalie portman play in star wars	natalie portman character star wars
WebQTrn-1001	what super bowls have the giants won	ny giants super bowl wins
WebQTrn-1005	who is ruling tunisia now	tunisia current ruler
WebQTrn-1008	what important office did abraham lincoln hold	office held by abraham lincoln
WebQTrn-1009	which country has adopted the euro as its currency ( 1 point )	countries that use the euro as currency
WebQTrn-101	what years have the dallas cowboys won the superbowl	dallas cowboys super bowl winning years
WebQTrn-1010	where did michael jordan play high school basketball	michael jordan high school
WebQTrn-1011	what type of cancer did huell howser die of	huell howser cancer type
WebQTrn-1012	what timezone is minneapolis in	minneapolis time zone
WebQTrn-1013	who is aidan davis	aidan davis
WebQTrn-1016	what did richard arkwright contribute to the industrial revolution	richard arkwright contribution to industrial revolution
WebQTrn-1017	what kind of currency does greece have	currency used in greece today
WebQTrn-1018	when did manchester united first win a trophy	manchester united first trophy won
WebQTrn-102	what awards has louis sachar won	louis sachar awards
WebQTrn-1020	where is isthmus of panama located	location of isthmus of panama
WebQTrn-1022	where is azerbaijan	azerbaijan location
WebQTrn-1023	what is the money of argentina called	currency of argentina
WebQTrn-1024	what college did matt schaub play for	matt schaub college team
WebQTrn-1028	what films has gerard butler starred in	movies starring gerard butler
WebQTrn-103	who are the current senators from missouri	senators from missouri
WebQTrn-1030	where was alice paul born	alice paul birthplace
WebQTrn-1031	what did john quincy adams died of	john quincy adams cause of death
WebQTrn-1033	who did juan ponce de leon mary	juan ponce de leon wife
WebQTrn-1035	what is the political system in italy	italy political system
WebQTrn-1036	who is the leader of france 2012	leader of france 2012
WebQTrn-1037	who is raquel welch 's daughter	rachel welch daughter
WebQTrn-1038	what kind of art did leonardo da vinci produce	leonardo da vinci style of art
WebQTrn-1039	what does the zambezi river flow into	zambezi river mouth
WebQTrn-1040	what states does the connecticut river flow through	connecticut river states run
WebQTrn-1044	what is the zip code of new york city	zip code for new york city
WebQTrn-1045	what condition does michael j fox have	michael j fox condition
WebQTrn-1046	where did jrr tolkien live	jrr tolkien lived where
WebQTrn-1047	what are the major languages of italy	main languages in italy
WebQTrn-105	what is the best currency to take to egypt 2013	best currency for egypt
WebQTrn-1053	what was liam neeson 's character in star wars	liam neeson star wars character
WebQTrn-1054	who plays the voice of lois griffin	lois griffin voice actor
WebQTrn-1056	what is the capital of georgia	capital of georgia
WebQTrn-1059	who is the present chief justice of the u.s. supreme court	chief justice of the us supreme court
WebQTrn-1061	what is chris paul 's son name	chris paul son
WebQTrn-1063	who does josh hutcherson play in the hunger games	the hunger games josh hutcherson character
WebQTrn-1065	what is the state flag of colorado called	state flag of colorado name
WebQTrn-1070	where marie curie come from	marie curie origin
WebQTrn-1071	who is facebook 's founder	facebook founder
WebQTrn-1072	what kind of money do you use in aruba	currency in aruba
WebQTrn-1074	what kind of music does john mayer play	john mayer music genre
WebQTrn-1075	what is lil wayne real name	lil wayne real name
WebQTrn-1076	what is the political system of the us	political system of usa
WebQTrn-1077	what religions are practiced in afghanistan	religions in afghanistan
WebQTrn-1078	where is the world series 2012 being played	world series 2012 location
WebQTrn-1079	what kind of language do irish speak	language spoken in ireland
WebQTrn-108	where did benjamin franklin died	benjamin franklin death place
WebQTrn-1080	what cancer did audrey hepburn died of	audrey hepburn cancer type
WebQTrn-1084	what timezone is texas san antonio in	san antonio texas time zone
WebQTrn-1085	where is alexandria located	alexandria location
WebQTrn-1087	what is australian currency	australian currency name
WebQTrn-1092	where is the euro used	euro countries
WebQTrn-1095	where did pixie lott go to school	pixie lott school
WebQTrn-1096	what date did we invade iraq	iraq invasion year
WebQTrn-1097	what is the new orleans hornets new name	new orleans hornets new name
WebQTrn-1100	what do the buddha believe in	buddha believes in
WebQTrn-1101	when did braves win the world series	braves world series win years
WebQTrn-1102	what is the name of walt disney 's son	walt disney son
WebQTrn-1103	what are some sights to see in rome	sights to see in rome
WebQTrn-1104	where is jack daniels tennessee whiskey made	jack daniels tennessee whiskey location
WebQTrn-1107	who was governor of texas in 2003	governor of texas 2003
WebQTrn-1108	what is yale university mascot	yale university mascot
WebQTrn-1109	what is the currency used in tunisia	currency in tunisia
WebQTrn-111	what is the local language of israel	language of israel
WebQTrn-1110	what language group does polish belong to	polish language group
WebQTrn-1111	what is the name of the new orleans saints football stadium	new orleans saints stadium name
WebQTrn-1112	what are five countries that border france	countries that border france
WebQTrn-1113	where was hockey world cup 2010 held	hockey world cup 2010 location
WebQTrn-1116	what type of music was scott joplin noted for	scott joplin music genre
WebQTrn-1117	where did sergio romo go to college	sergio romo college
WebQTrn-112	what city and state was the air force academy established	air force academy location
WebQTrn-1120	who became president after harding died	president after harding
WebQTrn-1121	in what city did machiavelli live	machiavelli hometown
WebQTrn-1122	what illnesses did george washington have	george washington illnesses
WebQTrn-1123	where is north port florida located	north port florida location
WebQTrn-1124	who is jennifer lawrence boyfriend 2012	jennifer lawrence boyfriend 2012
WebQTrn-1125	who was the voice of kitt	voice of kitt
WebQTrn-1126	who is the speaker of the house of representatives currently	current speaker of house of representatives
WebQTrn-1127	when did sean murray first appear on ncis	ncis sean murray first appearance
