question_id	question	query
913371	what type of memory card for kindle fire	memory card for kindle fire
635029	what does continental breakfast mean	define continental breakfast
593973	what causes your urine to be highly acidic	causes of acidic urine
371533	how to open a textclipping file in windows	open textclipping file in windows
329172	how much to install gas fireplace	cost to install gas fireplace
372981	how to prepare a grant proposal	writing a grant proposal
732830	what is computer hacking definition	hacking definition computer
812820	what is the cost of lead per pound	price of lead per pound
354880	how to determine if line are parallel or perpendicular	finding parallel and perpendicular lines
833828	what is the most popular baby name	most popular baby names
326971	how much roux for gumbo	roux for gumbo
852267	what is the unemployment rate in nh	new hampshire unemployment rate
892667	what score is bad credit	bad credit scores
358795	how to find number of page visits on a website google analytics	google analytics for website
880557	what nationality is bella hadid	bella hadid nationality
661615	what foods have melatonin in it	foods that contain melatonin
806329	what is the average height of males in the u s?	average height of men in usa
639862	what does ips stand for	meaning of ips
1042224	who is the youngest congressman	youngest congressman ever
362570	how to get rid of moss on roof	moss on roof removal
638186	what does geometric progression mean	geometric progression definition
590281	what causes noses to bleed	causes of nose bleeding
660287	what food controls blood sugar	foods to control blood sugar
210445	how can i get my account number with boost mobile	boost mobile my account number
712561	what is an atrial flutter ablation?	atrial flutter ablation
64861	can bed bugs survive in cars	bed bugs in cars
1029967	who is an alpha male	define alpha male
956294	when to wear a bow tie	tieing a bow tie
892043	what room temperature for newborn	room temperature for newborn
278526	how many carbs in a piece of bread	carbs in a piece of bread
762482	what is journal entry for bad debts written off	bad debts written off journal entry
643978	what does name mia mean	meaning of name mia
622598	what do comp time means	define comp time
717469	what is an uber car	best uber car
837193	what is the nutritional value of blueberries	nutritional value in blueberries
557117	what are continuing care health service standards	continuing care health service standards
955245	when to apply vitamin c serum	kiehl's vitamin c serum
563242	what are physical response to stress	physical response to stress
317152	how much does it usually cost to ship a car across country	cost to ship a car across country
258618	how long does laser hair removal take	best laser hair removal near me
564605	what are secret conversations on messenger	secret conversations on messenger
377447	how to reset unresponsive iphone that is locked	reset iphone locked
737787	what is deadline to file tax extension	deadline to file tax extension 2019
817882	what is the difference between managing and leading	difference between leading and managing
906194	what to do about poor circulation in the hands	poor circulation in hands
276213	how many calories burned by tennis	calories burned playing tennis
303591	how much carbs is in a bagel	carbs in a bagel
781211	what is pandora premium fee	pandora premium cost
